Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Time(s)
0	101.9310	101.2210	0.6000	1	4.36E-02
0	101.3870	101.5020	0.6000	1	4.27E-02
0	100.9020	101.6670	0.6000	1	3.57E-02
0	100.3960	101.7620	0.6000	1	3.59E-02
0	99.7280	101.7820	0.6000	1	4.66E-02
0	94.8720	101.3900	0.6000	1	3.40E-01
0	99.7350	98.5570	0.6000	1	4.33E-02
0	100.3010	98.5650	0.6000	1	3.95E-02
0	100.8230	98.6470	0.6000	1	3.69E-02
0	101.3720	98.8540	0.6000	1	4.09E-02
0	101.8820	99.1500	0.6000	1	4.11E-02
0	102.2770	99.4840	0.6000	1	3.61E-02
0	102.6880	99.9960	0.6000	1	4.58E-02
0	102.5050	100.2520	0.6000	1	2.20E-02
0	102.1410	100.6390	0.6000	1	3.71E-02
0	101.5780	101.0390	0.6000	1	4.82E-02
0	101.0180	101.2890	0.6000	1	4.28E-02
0	100.4750	101.4250	0.6000	1	3.91E-02
0	99.7390	101.4520	0.6000	1	5.14E-02
0	95.1200	101.0800	0.6000	1	3.23E-01
0	95.1200	98.9200	0.6000	1	1.51E-01
0	99.5170	98.5740	0.6000	1	3.08E-01
0	99.5510	99.0120	0.6000	1	3.07E-02
0	95.5590	99.3260	0.6000	1	2.79E-01
0	95.5590	100.6750	0.6000	1	9.41E-02
0	99.7490	101.0120	0.6000	1	2.93E-01
0	100.4190	100.9870	0.6000	1	4.68E-02
0	101.0200	100.8190	0.6000	1	4.35E-02
0	101.5060	100.5770	0.6000	1	3.79E-02
0	101.9190	100.2480	0.6000	1	3.68E-02
0	102.1460	99.9940	0.6000	1	2.38E-02
0	101.7000	99.5610	0.6000	1	4.34E-02
0	101.1820	99.2500	0.6000	1	4.22E-02
0	100.7110	99.0720	0.6000	1	3.51E-02
0	100.2890	99.0040	0.6000	1	2.98E-02
0	99.7700	98.9950	0.6000	1	3.62E-02
0	99.5570	99.9250	0.6000	1	7.34E-03
0	99.4980	99.9520	0.6000	1	4.53E-03
0	99.4390	99.9780	0.6000	1	4.50E-03
0	99.3810	100.0040	0.6000	1	4.43E-03
0	99.4480	100.0330	0.6000	1	5.09E-03
0	99.5160	100.0620	0.6000	1	5.16E-03
0	99.5840	100.0910	0.6000	1	5.16E-03
0	99.6520	100.1200	0.6000	1	5.16E-03
0	99.7190	100.1490	0.6000	1	5.09E-03
0	99.7870	100.1770	0.6000	1	5.13E-03
0	100.2970	100.1640	0.6000	1	3.56E-02
0	100.8230	100.0100	0.6000	1	3.82E-02
0	100.4930	99.8720	0.6000	1	2.50E-02
0	100.2670	99.8300	0.6000	1	1.60E-02
0	99.7570	99.8360	0.6000	1	3.56E-02
0	99.6940	99.8640	0.6000	1	4.81E-03
0	99.6320	99.8920	0.6000	1	4.75E-03
0	99.5690	99.9200	0.6000	1	4.81E-03
0	99.5060	99.9480	0.6000	1	4.81E-03
0	99.4430	99.9760	0.6000	1	4.81E-03
0	99.3810	100.0040	0.6000	1	4.75E-03
0	99.1150	100.0040	0.6000	1	1.86E-02
0	98.8490	100.0040	0.6000	1	1.86E-02
0	98.5840	100.0030	0.6000	1	1.85E-02
0	98.3180	100.0030	0.6000	1	1.86E-02
0	98.0530	100.0030	0.6000	1	1.85E-02
0	97.7870	100.0030	0.6000	1	1.86E-02
0	97.7060	99.8860	0.6000	1	9.93E-03
0	97.6250	99.7700	0.6000	1	9.87E-03
0	97.5440	99.6540	0.6000	1	9.87E-03
0	97.4540	99.6790	0.6000	1	6.52E-03
0	97.3640	99.7040	0.6000	1	6.52E-03
0	96.8160	99.7260	0.6000	1	3.83E-02
